,type,action
153,care.virtue,CHAR_0 know maintain safety factory important power day finally get nap home work .
154,care.virtue,CHAR_0 use money feed homeless people .
155,care.virtue,CHAR_0 put tank top short get sun play child outside .
156,care.virtue,CHAR_0 approach neighbor express concern directly offer help .
157,care.virtue,"Knowing CHAR_0 pain med , Eddie dig medicine cabinet find shares party ."
158,care.virtue,Nadia help CHAR_0 question teach team work .
159,care.virtue,CHAR_0 listen leader Native american community ask policy would well help they .
160,care.virtue,CHAR_0 ask mother cut steak small smile .
161,care.virtue,CHAR_0 use personal money buy food share people community need it .
162,care.virtue,CHAR_0 give mother hug thank buy car .
163,care.virtue,CHAR_0 put grocery car return help woman parking lot .
164,care.virtue,Jonah invite CHAR_0 join gym suggest cook healthy meal together .
165,care.virtue,CHAR_0 sit daughter help study test .
166,care.virtue,CHAR_0 call sale meeting agent give speech help motivate they .
167,care.virtue,CHAR_0 thank man work donate five dollar charity .
168,care.virtue,CHAR_0 make sure food serve safe sister eat .
169,care.virtue,CHAR_0 say study go half - hour walk relieve brain .
170,care.virtue,CHAR_0 agree give house ex - wife since sacrifice take care house kid .
171,care.virtue,CHAR_0 leave go home complete work remotely heal .
172,care.virtue,"CHAR_0 tell Troy father dead , help process grief ."
173,care.virtue,CHAR_0 tell son never give love follow dream matter hard may seem .
174,care.virtue,"CHAR_0 find job work save money car , accept help anyone ."
175,care.virtue,CHAR_0 tell friend pleasure help mom love she .
176,care.virtue,CHAR_0 share cookie brother .
177,care.virtue,CHAR_0 refuse share cookie brother .
178,care.virtue,"CHAR_0 prepare tasty healthy meal pasta , meat vegetable ."
179,care.virtue,CHAR_0 ask Becky know resource help spouse disabled people care love one well .
180,care.virtue,CHAR_0 enlist help nutritionist fitness coach .
181,care.virtue,CHAR_0 tell kid calmly loiter illegal law people feel safe walk certain area go home .
182,care.virtue,CHAR_0 work deal cousin share necklace .
183,care.virtue,CHAR_0 work bare minimum spend much time possible child .
184,care.virtue,CHAR_0 speak frankly mother inform upset request talk thing throw mother get home .
185,care.virtue,"CHAR_0 walk calmly separate fight child , talk they ."
186,care.virtue,CHAR_0 walk hit child stop fight other .
187,care.virtue,CHAR_0 decide spend time help girlfriend move heavy furniture .
188,care.virtue,CHAR_0 refuse help girlfriend move heavy furniture .
189,care.virtue,CHAR_0 continue run charity honor friend .
190,care.virtue,CHAR_0 wait class share news friend .
191,care.virtue,CHAR_0 give hooker money help out .
192,care.virtue,CHAR_0 tell co - worker he would love hang work .
193,care.virtue,Sue give time heal get CHAR_0 start look new man .
194,care.virtue,"Blake ask CHAR_0 close safe door , watch it ."
195,care.virtue,CHAR_0 ask staff assistance also follow instruction put away clothe want .
196,care.virtue,CHAR_0 know good way thank waitress leave health fifty percent top moderate bill meal .
197,care.virtue,CHAR_0 comfort hug son .
198,care.virtue,CHAR_0 drop tell Ryder help class work .
199,care.virtue,CHAR_0 hire good help grandmother see well look move out .
200,care.virtue,CHAR_0 make sandwich right finish feeding dog .
201,care.virtue,manager offer help CHAR_0 find something like .
202,care.virtue,CHAR_0 decide group play basketball know friend love it .
203,care.virtue,CHAR_0 put game record comfort Mindy talk she .
204,care.virtue,CHAR_0 compliment Clarissa 's outfit tell borrow clothe anytime want .
205,care.virtue,CHAR_0 see child problem take child 's toy tell must share they .
206,care.virtue,"CHAR_0 make salad wife say he s wrong , ask help he ."
207,care.virtue,CHAR_0 call mother ask bring toothbrush friend 's house .
208,care.virtue,CHAR_0 call doctor pay mother house visit .
209,care.virtue,"Terrence ask CHAR_0 would mind share food he , give half ."
210,care.virtue,CHAR_0 tell mother love tell goodbye .
211,care.virtue,CHAR_0 tell mother work pay vase break .
212,care.virtue,CHAR_0 stop help strand couple fix car .
213,care.virtue,CHAR_0 purchase drink invite friend share with .
214,care.virtue,Amber teach CHAR_0 beg feed portion meal occasional treat .
215,care.virtue,CHAR_0 ask mother watch cartoon homework .
216,care.virtue,trent offer help CHAR_0 understand topic .
217,care.virtue,CHAR_0 help free expect payment schedule extra work shift .
218,care.virtue,CHAR_0 hold elderly person 's hand help get across street he .
219,care.virtue,CHAR_0 ask person lot organic fruit vegetable cart benefit eat organic .
220,care.virtue,CHAR_0 pause show television mother speak .
221,care.virtue,CHAR_0 offer improve pit crew time help get car fast .
222,care.virtue,CHAR_0 realize clothe beach store might mean different thing many people .
223,care.virtue,CHAR_0 feed dog food recommend vet .
224,care.virtue,Winston wait CHAR_0 finish story share exciting news .
225,care.virtue,CHAR_0 encourage friend go theater class help run line .
226,care.virtue,CHAR_0 decide start inform worker every day potential safety risk .
227,care.virtue,CHAR_0 find babysitter help take care child .
228,care.virtue,CHAR_0 simply decide leave child care alcoholic husband .
229,care.virtue,CHAR_0 take portion extra can good purchase local food bank donate food help family need .
230,care.virtue,CHAR_0 take extra care make sure work relate decision well research on - point .
231,care.virtue,CHAR_0 tell Nate help brother technical stuff .
232,care.virtue,CHAR_0 work hard part project ask group member help need it .
233,care.virtue,CHAR_0 get parenting book implement little bit time .
234,care.virtue,CHAR_0 help parent clean hour go outside play .
235,care.virtue,CHAR_0 tell coworker help set aside time provide assistance .
236,care.virtue,CHAR_0 get babysitte job volunteer day care .
237,care.virtue,""" CHAR_0 tell friend date slut probably bad childhood , be , "" "" easy "" "" . """
238,care.virtue,CHAR_0 ask mother okay clean room later .
239,care.virtue,"CHAR_0 tell wife love she , able work problem ."
240,care.virtue,Amber take away CHAR_0 's game console talk behavior .
241,care.virtue,CHAR_0 notice one friend good dancing give pointer help friend get rhythm .
242,care.virtue,CHAR_0 ask mother borrow car .
243,care.virtue,CHAR_0 give grandchild plate healthy fruit vegetable .
244,care.virtue,CHAR_0 stay week extra help teacher offer .
245,care.virtue,Carlow CHAR_0 decide adopt three child .
246,care.virtue,CHAR_0 propose significant deeply love .
247,care.virtue,CHAR_0 swear mother call stupid .
248,care.virtue,CHAR_0 tell mother he will can not wait see everyone .
249,care.virtue,CHAR_0 leave dirty gym clothe floor change .
250,care.virtue,CHAR_0 dish tell mother goodbye leave date .
251,care.virtue,"test , CHAR_0 offer help friend study next exam ."
252,care.virtue,"Mary close eye take moment collect ask friend help she , vent problem friend ."
253,care.virtue,Randy tell CHAR_0 need seek professional help stop call whine nonsense frequently .
254,care.virtue,CHAR_0 agree help ex employee write glow letter recommendation they .
255,care.virtue,CHAR_0 say want responsible recommend anybody work refuse help ex employee .
256,care.virtue,"Sadie tell CHAR_0 love he , can not man drug ."
257,care.virtue,CHAR_0 ask supervisor work get bulk deal computer paper help save money daughter 's new hobby .
258,care.virtue,CHAR_0 agree work weekend help company overcome emergency .
259,care.virtue,"CHAR_0 tell friend God say human equal , love couple ."
260,care.virtue,CHAR_0 supportive urge wife seek professional help .
261,care.virtue,"Justin short chat CHAR_0 store , learn kid current job , hug say goodbye ."
262,care.virtue,"CHAR_0 apply food stamp make kid healthy , simple meal ."
263,care.virtue,CHAR_0 share kind word classmate try cheer up .
264,care.virtue,CHAR_0 say help friend get pizza eat after .
265,care.virtue,"CHAR_0 tell dad care lot happen , want help stop it ."
266,care.virtue,CHAR_0 tell dad care dad abuse need stop regardless .
267,care.virtue,CHAR_0 listen Carmen vent argument ask there be anything help .
268,care.virtue,"CHAR_0 ask husband help run bakery , around invest bakery ."
269,care.virtue,CHAR_0 talk child tell go room punishement .
270,care.virtue,CHAR_0 calmly tell mother okay eavesdropping conversation .
271,care.virtue,"CHAR_0 decide share food friend , splitting meal ."
272,care.virtue,CHAR_0 visit neighbor find way help financially .
273,care.virtue,CHAR_0 write idea note wait present member finish share it .
274,care.virtue,CHAR_0 buy mother bouquet favorite flower .
275,care.virtue,CHAR_0 thank gift give hug .
276,care.virtue,"CHAR_0 run lunch break , go bathroom freshen up , put clean clothe ."
277,care.virtue,CHAR_0 see loose beam call safety man come take look head home watch game .
278,care.virtue,CHAR_0 post plea online ask donation help rough time .
279,care.virtue,"CHAR_0 call good friend , get work McDonald 's next door , ask watch child CHAR_0 shop ."
280,care.virtue,"CHAR_0 stop car help old lady offer ride , go game ."
281,care.virtue,CHAR_0 call client inform minute late drive meeting location safely .
282,care.virtue,CHAR_0 look new apartment share .
283,care.virtue,CHAR_0 focus health relate goal order motivate friend .
284,care.virtue,CHAR_0 work extra hour help pay nurse go check mother every night .
285,care.virtue,cecilia agree sell house get money help CHAR_0 go difficult time .
286,care.virtue,CHAR_0 display open - mindedness listen friend ' opinion end demonstrate objective benefit slavery .
287,care.virtue,CHAR_0 comfort Betty help get grief time .
288,care.virtue,CHAR_0 explain parent child old dry well CHAR_0 's property might fallen into .
289,care.virtue,CHAR_0 pet puppy take walk feed leave mall .
290,care.virtue,CHAR_0 go psychiatrist ask medication help depression .
291,care.virtue,CHAR_0 make move speech highlighting goal charity .
292,care.virtue,CHAR_0 decide split inheritance give son equal share two son .
293,care.virtue,CHAR_0 ask coworker nicely take care spill she .
294,care.virtue,CHAR_0 tell father love glad father .
295,care.virtue,"CHAR_0 run tell child that , talk kid 's parent ."
296,care.virtue,"CHAR_0 let friend know watch child right now , catch phone ."
297,care.virtue,CHAR_0 buy book self - help book convenience store .
298,care.virtue,CHAR_0 calmly talk neighbor move RV offer help he .
299,care.virtue,CHAR_0 tell mom he be proud find someone truly love .
300,care.virtue,Micheal decide share story first kiss .
301,care.virtue,CHAR_0 talk partner ask there be anything help project .
302,care.virtue,"CHAR_0 apply new job find well position , call local food safety inspector ."
303,care.virtue,"CHAR_0 talk sister concern , offer help find well pay job ."
304,care.virtue,CHAR_0 ask girl anything help they .
305,care.virtue,CHAR_0 talk dad tell whole family convince share news make feel support .
306,care.virtue,CHAR_0 excuse backyard child cigarette there .
307,care.virtue,CHAR_0 tip Uber driver generously order slightly cheap drink .
308,care.virtue,CHAR_0 child ride bike around town .
309,care.virtue,CHAR_0 apply get new job know provide health insurance .
310,care.virtue,CHAR_0 start buy healthy food keep house .
311,care.virtue,"CHAR_0 ask coworker experience special difficulty work , CHAR_0 could help work around ."
312,care.virtue,"CHAR_0 tell child like fun , hang together ."
313,care.virtue,CHAR_0 take small portion earning buy furniture decline help community group extra cash .
314,care.virtue,CHAR_0 tell person could use help ask suggestion .
315,care.virtue,CHAR_0 decide wait movie call mother .
316,care.virtue,"CHAR_0 share love raise chicken , strange hobby man , show photo ."
317,care.virtue,CHAR_0 offer condolence mourn .
318,care.virtue,"CHAR_0 make mad dash restroom , arrive time relieve himself ."
319,care.virtue,CHAR_0 encourage James take time school extra help essay writing .
320,care.virtue,CHAR_0 offer help neighbor lawn gets know they .
321,care.virtue,CHAR_0 simply tell Mom help win soccer game .
322,care.virtue,CHAR_0 donate dollar charity pay grocery .
323,care.virtue,CHAR_0 tell everyone funeral home wonderful woman friend 's mother be .
324,care.virtue,CHAR_0 ask roommate help pick date clean apartment .
325,care.virtue,CHAR_0 deny take jacket Barb go mother ask intervene .
326,care.virtue,CHAR_0 hugs friend offer word encouragement .
327,care.virtue,"CHAR_0 leave garbage behind rush car , assume wife take care it ."
328,care.virtue,CHAR_0 ask friend help buy lunch today .
329,care.virtue,CHAR_0 's mother take get ice cream cone street .
330,care.virtue,CHAR_0 decide watch clean help family room .
331,care.virtue,CHAR_0 put rat poison hamburger feed neighbor dog .
332,care.virtue,CHAR_0 hugs son offer pick ice cream way home .
333,care.virtue,CHAR_0 decide eat small healthy meal take nap .
334,care.virtue,"CHAR_0 tell roommate invite drink ask help clean house , go soon possible ."
335,care.virtue,CHAR_0 offer old programmer generous severance package hire new guy .
336,care.virtue,CHAR_0 agree give clothe friend .
337,care.virtue,CHAR_0 dump clothe garbage want call charity come .
338,care.virtue,CHAR_0 seek professional help depression .
339,care.virtue,CHAR_0 use prowess swimmer save multiple child board sink ferry swim safety .
340,care.virtue,CHAR_0 decide give mother chance agree meet she .
341,care.virtue,CHAR_0 ask customer nicely help anything store closing soon .
342,care.virtue,"CHAR_0 research healthy food idea affordable , take care nutritious meal ."
343,care.virtue,CHAR_0 suggest mother money would well spend elsewhere .
344,care.virtue,CHAR_0 grab child call police come take child somewhere safe .
345,care.virtue,CHAR_0 share concern June ask see another trainer .
346,care.virtue,CHAR_0 empathize friend talk experience .
347,care.virtue,CHAR_0 greets security guard courthouse entrance ask help predicament .
348,care.virtue,CHAR_0 refuse instead stop healthy restaurant get carry - out .
349,care.virtue,"CHAR_0 tell Hailey great job , he will cook healthy meal help weight loss ."
350,care.virtue,"CHAR_0 ask daughter want help with , turn drive prom ."
351,care.virtue,CHAR_0 take unneeded clothe goodwill .
352,care.virtue,"CHAR_0 tend wife 's need , take hospital wait give birth go friend ."
353,care.virtue,CHAR_0 realize can not care puppy reach kill rescue .
354,care.virtue,CHAR_0 offer help friend clean car quickly leave .
355,care.virtue,CHAR_0 tell judge child turn wife that be want divorce .
356,care.virtue,CHAR_0 call mother reluctantly beg loan get trouble .
357,care.virtue,Dr. CHAR_0 recommend treatment issue patient want surgery .
358,care.virtue,CHAR_0 check good deal online call need help .
359,care.virtue,"CHAR_0 thank Fred help tell she , do herself ."
360,care.virtue,CHAR_0 visit mother every weekend take town dinner shopping .
361,care.virtue,CHAR_0 tell neighborhood kid old console use anymore offer let child take free .
362,care.virtue,CHAR_0 fill large bag husband 's clothe wear throw bag trash .
363,care.virtue,CHAR_0 exercise every day 60 minute eat healthy meal .
364,care.virtue,CHAR_0 pull quickly dial 911 help victim away burn car .
365,care.virtue,CHAR_0 hire friend feed pet day .
366,care.virtue,CHAR_0 refuse dad offer help make several big mistake .
367,care.virtue,CHAR_0 ask roommate pick offer help .
368,care.virtue,CHAR_0 call friend neighbor help search Molly .
369,care.virtue,CHAR_0 Alexis decide work friendship sake child .
370,care.virtue,""" CHAR_0 ask "" "" help important project "" "" happen day surprise party boss there . """
371,care.virtue,CHAR_0 keep jewelry safety deposit box .
372,care.virtue,CHAR_0 offer loan Freya one mother 's parenting book alongside pass along information learn friend mother .
373,care.virtue,CHAR_0 move away family girlfriend 's tiny apartment think unfair share rent equally minuscule income .
374,care.virtue,CHAR_0 tell mother - in - law food prepare delicious .
375,care.virtue,"CHAR_0 tell mother - in - law food taste like garbage , stand it ."
376,care.virtue,"sandy offer help CHAR_0 study hard test CHAR_0 would not fail , CHAR_0 grateful ."
377,care.virtue,"CHAR_0 pause movie , walk Donkey , feed resume movie marathon ."
378,care.virtue,CHAR_0 ask friend help tutor subject .
379,care.virtue,CHAR_0 let holler hugs wife tightly ask serious .
380,care.virtue,""" CHAR_0 point unusually dress classmate say , "" "" I love vintage style "" "" . """
381,care.virtue,"James tell son risky , support son 's dream there be way help let know ."
382,care.virtue,"grace tell CHAR_0 bad day school , tell mother happen ."
383,care.virtue,"CHAR_0 buy jersey support childhood friend 's new team send friend selfie , wear jersey ."
384,care.virtue,CHAR_0 work doctor learn good help husband home .
385,care.virtue,"CHAR_0 proactive job search , volunteer shelter , speak caseworker homeless shelter ask help ."
386,care.virtue,CHAR_0 work hard night help fellow worker he be busy .
387,care.virtue,CHAR_0 ask friend help chore real quick .
388,care.virtue,"CHAR_0 give friend $ 12,000 gratitude help out ."
389,care.virtue,CHAR_0 go hospital find friend do .
390,care.virtue,"trevor tell CHAR_0 they will get one bedroom , share living room ."
391,care.virtue,CHAR_0 spend time student work exercise plan help achieve goal .
392,care.virtue,CHAR_0 pick dog take back house feed it .
393,care.virtue,CHAR_0 child chore earn allowance treat special holiday occassion .
394,care.virtue,CHAR_0 ask friend help cook healthy pizza substitute discuss healthy diet .
395,care.virtue,CHAR_0 punch brother brother want big share estate everyone else .
396,care.virtue,CHAR_0 give child mild talk - to disciplinary measure .
397,care.virtue,CHAR_0 get pool sit nearby keep close eye three child still inside pool .
398,care.virtue,CHAR_0 eat healthy light meal like salad .
399,care.virtue,CHAR_0 go food bank road ask help get meal .
400,care.virtue,CHAR_0 confront mother scream much .
401,care.virtue,"Randy tell CHAR_0 he would love come , he will meet lobby work ."
402,care.virtue,Daniel tell CHAR_0 dog need help get home .
403,care.virtue,CHAR_0 make mother soup bring go friend 's house .
404,care.virtue,"CHAR_0 research depression , give friend dinner , friend open emotional health struggle ."
405,care.virtue,CHAR_0 make sure money give charity upon death .
406,care.virtue,CHAR_0 neatly fold person 's clothe put dryer .
407,care.virtue,CHAR_0 put child advanced math class .
408,care.virtue,CHAR_0 gladly agree round total order help local community .
409,care.virtue,"CHAR_0 tell stranger much love wife , good choice he be ever make ."
410,care.virtue,CHAR_0 help get disabled man inside plan provide ramp future .
411,care.virtue,CHAR_0 offer let child work money .
412,care.virtue,CHAR_0 get dress nice clothe hair meeting girlfriend day fun activity .
413,care.virtue,"CHAR_0 comb hair , trims beard , put wash iron clothe ."
414,care.virtue,CHAR_0 compliment good friend 's healthy appearance inquire journey on .
415,care.virtue,Jen reach help CHAR_0 ask alright .
416,care.virtue,CHAR_0 accept daughter 's help show hold knife chop vegetable .
417,care.virtue,"CHAR_0 comfort child call 911 child 's parent , finally go home parent ambulance arrive ."
418,care.virtue,CHAR_0 ignore child 's cry continue way home .
419,care.virtue,CHAR_0 wait listen patient ' problem well .
420,care.virtue,CHAR_0 agree donate money charity stop hunger child also sign volunteer charity organization .
421,care.virtue,"CHAR_0 know make decision child know must come first , turn job opportunity ."
422,care.virtue,CHAR_0 use ride share service get ride home .
423,care.virtue,CHAR_0 whisper good friend share winning homeless friend .
424,care.virtue,CHAR_0 invite friend go share experience .
425,care.virtue,CHAR_0 ask mother dad would take carnival .
426,care.virtue,CHAR_0 think time life odd thing happen share story friend .
427,care.virtue,CHAR_0 bring board game nursing home play Grandpa .
428,care.virtue,CHAR_0 pause video game put clothe laundry returning finish it .
429,care.virtue,"CHAR_0 tell child need report parent police , go so ."
430,care.virtue,CHAR_0 tip employee dollar help .
431,care.virtue,"CHAR_0 hugs Missy tell happy she , think find love one day ."
432,care.virtue,CHAR_0 go bartender ask help deal drunk person .
433,care.virtue,"CHAR_0 order extra large pizza , enough feed three save parent ."
434,care.virtue,"CHAR_0 wave hello , keep distance keep mask concern parent ' health ."
435,care.virtue,CHAR_0 give birth proceed put child adoption .
